id	path	name	link	imslp	set_id
9137469	Dvořák,_Antonín/String_Quartet_No.10,_Op.51	String Quartet No.10, Op.51	https://musescore.com/openscore-string-quartets/scores/9137469	#407265	5770845
8885439	Dvořák,_Antonín/String_Quartet_No.12,_Op.96_(“American”)	String Quartet No.12, Op.96 (“American”)	https://musescore.com/openscore-string-quartets/scores/8885439	#96276	5108664
7362818	Elgar,_Edward/String_Quartet,_Op.83	String Quartet, Op.83	https://musescore.com/openscore-string-quartets/scores/7362818	#17231	5108550
7358708	Fauré,_Gabriel/String_Quartet,_Op.121	String Quartet, Op.121	https://musescore.com/openscore-string-quartets/scores/7358708	#23028	5108666
7358579	Glazunov,_Alexander/String_Quartet_No.1,_Op.1	String Quartet No.1, Op.1	https://musescore.com/openscore-string-quartets/scores/7358579	#65357	5108543
14720995	Glinka,_Mikhail/String_Quartet	String Quartet	https://musescore.com/openscore-string-quartets/scores/14720995	#40373	5108728
7434431	Gounod,_Charles/String_Quartet_No.3_in_A_minor	String Quartet No.3 in A minor	https://musescore.com/openscore-string-quartets/scores/7434431	#88976	5108686
10406164	Gouvy,_Théodore/String_Quartet,_Op.16_No.1	String Quartet, Op.16 No.1	https://musescore.com/openscore-string-quartets/scores/10406164	#16842	5108687
9631717	Grieg,_Edvard/String_Quartet_No.1,_Op.27	String Quartet No.1, Op.27	https://musescore.com/openscore-string-quartets/scores/9631717	#40157	5108691
9146376	Haydn,_Joseph/String_Quartet_in_A_major,_Hob.III24,_Op.9_No.6	String Quartet in A major, Hob.III:24, Op.9 No.6	https://musescore.com/openscore-string-quartets/scores/9146376	#106807	5769936
8796660	Haydn,_Joseph/String_Quartet_in_A_major,_Hob.III36,_Op.20_No.6	String Quartet in A major, Hob.III:36, Op.20 No.6	https://musescore.com/openscore-string-quartets/scores/8796660	#05273	5178725
7114183	Haydn,_Joseph/String_Quartet_in_B_minor,_Hob.III68,_Op.64_No.2	String Quartet in B minor, Hob.III:68, Op.64 No.2	https://musescore.com/openscore-string-quartets/scores/7114183	#06536	5108562
8461409	Haydn,_Joseph/String_Quartet_in_B-flat_major_(“La_Chasse”),_Hob._III1,_Op.1_No.1	String Quartet in B-flat major (“La Chasse”), Hob. III:1, Op.1 No.1	https://musescore.com/openscore-string-quartets/scores/8461409	#106785	5446197
8556926	Haydn,_Joseph/String_Quartet_in_B-flat_major,_Hob.III5,_Op.1_No.5	String Quartet in B-flat major, Hob.III:5, Op.1 No.5	https://musescore.com/openscore-string-quartets/scores/8556926	#106789	5470754
7123582	Haydn,_Joseph/String_Quartet_in_B-flat_major,_Hob.III67,_Op.64_No.3	String Quartet in B-flat major, Hob.III:67, Op.64 No.3	https://musescore.com/openscore-string-quartets/scores/7123582	#06537	5108563
9961690	Haydn,_Joseph/String_Quartet_in_C_major,_Hob.III19,_Op.9_No.1	String Quartet in C major, Hob.III:19, Op.9 No.1	https://musescore.com/openscore-string-quartets/scores/9961690	#106803	5769894
8088531	Haydn,_Joseph/String_Quartet_in_C_major,_Hob.III32,_Op.20_No.2	String Quartet in C major, Hob.III:32, Op.20 No.2	https://musescore.com/openscore-string-quartets/scores/8088531	#05269	5178617
8806134	Haydn,_Joseph/String_Quartet_in_C_major,_Hob.III6,_Op.1_No.6	String Quartet in C major, Hob.III:6, Op.1 No.6	https://musescore.com/openscore-string-quartets/scores/8806134	#106790	5470757
7127785	Haydn,_Joseph/String_Quartet_in_C_major,_Hob.III65,_Op.64_No.1	String Quartet in C major, Hob.III:65, Op.64 No.1	https://musescore.com/openscore-string-quartets/scores/7127785	#06535	5108561
10372717	Haydn,_Joseph/String_Quartet_in_C_major,_Hob.III72,_Op.74_No.1	String Quartet in C major, Hob.III:72, Op.74 No.1	https://musescore.com/openscore-string-quartets/scores/10372717	#24480	5954362
8806746	Haydn,_Joseph/String_Quartet_in_D_major,_Hob.III3,_Op.1_No.3	String Quartet in D major, Hob.III:3, Op.1 No.3	https://musescore.com/openscore-string-quartets/scores/8806746	#106787	5470649
8509238	Haydn,_Joseph/String_Quartet_in_D_major,_Hob.III34,_Op.20_No.4	String Quartet in D major, Hob.III:34, Op.20 No.4	https://musescore.com/openscore-string-quartets/scores/8509238	#05271	5178650
7284122	Haydn,_Joseph/String_Quartet_in_D_major,_Hob.III63,_Op.64_No.5	String Quartet in D major, Hob.III:63, Op.64 No.5	https://musescore.com/openscore-string-quartets/scores/7284122	#06557	5108566
10414906	Haydn,_Joseph/String_Quartet_in_D_minor,_Hob.III22,_Op.9_No.4	String Quartet in D minor, Hob.III:22, Op.9 No.4	https://musescore.com/openscore-string-quartets/scores/10414906	#106805	5769912
12772795	Haydn,_Joseph/String_Quartet_in_D_minor,_Hob.III76,_Op.76_No.2	String Quartet in D minor, Hob.III:76, Op.76 No.2	https://musescore.com/openscore-string-quartets/scores/12772795	#28078	6403711
8806881	Haydn,_Joseph/String_Quartet_in_E-flat_major,_Hob.III2,_Op.1_No.2	String Quartet in E-flat major, Hob.III:2, Op.1 No.2	https://musescore.com/openscore-string-quartets/scores/8806881	#106786	5446206
10328092	Haydn,_Joseph/String_Quartet_in_E-flat_major,_Hob.III20,_Op.9_No.2	String Quartet in E-flat major, Hob.III:20, Op.9 No.2	https://musescore.com/openscore-string-quartets/scores/10328092	#218820	5769909
8075304	Haydn,_Joseph/String_Quartet_in_E-flat_major,_Hob.III31,_Op.20_No.1	String Quartet in E-flat major, Hob.III:31, Op.20 No.1	https://musescore.com/openscore-string-quartets/scores/8075304	#05268	5178593
7300376	Haydn,_Joseph/String_Quartet_in_E-flat_major,_Hob.III64,_Op.64_No.6	String Quartet in E-flat major, Hob.III:64, Op.64 No.6	https://musescore.com/openscore-string-quartets/scores/7300376	#06558	5108567
10307350	Haydn,_Joseph/String_Quartet_in_F_major,_Hob.III73,_Op.74_No.2	String Quartet in F major, Hob.III:73, Op.74 No.2	https://musescore.com/openscore-string-quartets/scores/10307350	#05817	5954374
8807040	Haydn,_Joseph/String_Quartet_in_F_minor,_Hob.III35,_Op.20_No.5	String Quartet in F minor, Hob.III:35, Op.20 No.5	https://musescore.com/openscore-string-quartets/scores/8807040	#05272	5178695
10381459	Haydn,_Joseph/String_Quartet_in_G_major,_Hob.III21,_Op.9_No.3	String Quartet in G major, Hob.III:21, Op.9 No.3	https://musescore.com/openscore-string-quartets/scores/10381459	#106804	5769903
8807667	Haydn,_Joseph/String_Quartet_in_G_major,_Hob.III4,_Op.1_No.4	String Quartet in G major, Hob.III:4, Op.1 No.4	https://musescore.com/openscore-string-quartets/scores/8807667	#106788	5470739
7249986	Haydn,_Joseph/String_Quartet_in_G_major,_Hob.III66,_Op.64,_No.4	String Quartet in G major, Hob.III:66, Op.64, No.4	https://musescore.com/openscore-string-quartets/scores/7249986	#06556	5108564
15049456	Haydn,_Joseph/String_Quartet_in_G_major,_Hob.III75,_Op.76_No.1	String Quartet in G major, Hob.III:75, Op.76 No.1	https://musescore.com/openscore-string-quartets/scores/15049456	#28077	6403696
8455808	Haydn,_Joseph/String_Quartet_in_G_minor,_Hob.III33,_Op.20_No.3	String Quartet in G minor, Hob.III:33, Op.20 No.3	https://musescore.com/openscore-string-quartets/scores/8455808	#05270	5178638
10313029	Haydn,_Joseph/String_Quartet_in_G_minor,_Hob.III74,_Op.74_No.3_(The_Horseman)	String Quartet in G minor, Hob.III:74, Op.74 No.3 (The Horseman)	https://musescore.com/openscore-string-quartets/scores/10313029	#454620	5954407
7577795	Hensel,_Fanny_(Mendelssohn)/String_Quartet_in_E-flat_major,_Op._277	String Quartet in E-flat major, Op. 277	https://musescore.com/openscore-string-quartets/scores/7577795	#746532	5150345
12701461	Hoffmeister,_Franz_Anton/String_Quartet_No.9_in_D_major	String Quartet No.9 in D major	https://musescore.com/openscore-string-quartets/scores/12701461	#567348	5108735
7354505	Indy,_Vincent_d’/String_Quartet_No.1,_Op.35	String Quartet No.1, Op.35	https://musescore.com/openscore-string-quartets/scores/7354505	#17471	5108582
7158117	Janáček,_Leoš/String_Quartet_No.1_“Kreutzer_Sonata”	String Quartet No.1 “Kreutzer Sonata”	https://musescore.com/openscore-string-quartets/scores/7158117	#65455	5108558
7267316	Janáček,_Leoš/String_Quartet_No.2_“Intimate_Letters”	String Quartet No.2 “Intimate Letters”	https://musescore.com/openscore-string-quartets/scores/7267316	#65456	5108692
7384409	Kalliwoda,_Johann_Wenzel/String_Quartet_No.3,_Op.90	String Quartet No.3, Op.90	https://musescore.com/openscore-string-quartets/scores/7384409	#17328	5108559
7524617	Krzyżanowska,_Halina/String_Quartet,_Op.44	String Quartet, Op.44	https://musescore.com/openscore-string-quartets/scores/7524617	#120481	5108456
7551068	Maier,_Amanda/String_Quartet_in_A_major	String Quartet in A major	https://musescore.com/openscore-string-quartets/scores/7551068	#562387	5108457
8818128	Mayer,_Emilie/String_Quartet_in_A_Major	String Quartet in A Major	https://musescore.com/openscore-string-quartets/scores/8818128	#748465	5152007
7588853	Mayer,_Emilie/String_Quartet_in_D_Major	String Quartet in D Major	https://musescore.com/openscore-string-quartets/scores/7588853	#748464	5152019
7556360	Mayer,_Emilie/String_Quartet_in_E_minor	String Quartet in E minor	https://musescore.com/openscore-string-quartets/scores/7556360	#327005	5108504
7236909	Mayer,_Emilie/String_Quartet_in_G_minor,_Op.14	String Quartet in G minor, Op.14	https://musescore.com/openscore-string-quartets/scores/7236909	#70728	5108458
7070319	Mayer,_Emilie/String_Quartet_in_G_minor,_Op.14	String Quartet in G minor, Op.14	https://musescore.com/openscore-string-quartets/scores/7070319	#70728	5108458
7082029	Mayer,_Emilie/String_Quartet_in_G_minor,_Op.14	String Quartet in G minor, Op.14	https://musescore.com/openscore-string-quartets/scores/7082029	#70728	5108458
7095930	Mayer,_Emilie/String_Quartet_in_G_minor,_Op.14	String Quartet in G minor, Op.14	https://musescore.com/openscore-string-quartets/scores/7095930	#70728	5108458
8561633	Mendelssohn,_Felix/String_Quartet_No._6_in_F_Minor,_Op.80	String Quartet No. 6 in F Minor, Op.80	https://musescore.com/openscore-string-quartets/scores/8561633	#10976	5514686
7224846	Mendelssohn,_Felix/String_Quartet_No.1,_Op.12	String Quartet No.1, Op.12	https://musescore.com/openscore-string-quartets/scores/7224846	#10971	5108546
8885571	Mendelssohn,_Felix/String_Quartet_No.2,_Op.13	String Quartet No.2, Op.13	https://musescore.com/openscore-string-quartets/scores/8885571	#10972	5108547
8623643	Mendelssohn,_Felix/String_Quartet_No.4_in_E_minor,_Op.44_No.2	String Quartet No.4 in E minor, Op.44 No.2	https://musescore.com/openscore-string-quartets/scores/8623643	#10974	5514680
9071492	Moeran,_Ernest_John/String_Quartet_in_A_minor	String Quartet in A minor	https://musescore.com/openscore-string-quartets/scores/9071492	#555797	5108846
15230467	Mozart,_Wolfgang_Amadeus/String_Quartet_No.1_in_G_major,_K.8073f	String Quartet No.1 in G major, K.80/73f	https://musescore.com/openscore-string-quartets/scores/15230467	#64041	6406660
7103818	Mozart,_Wolfgang_Amadeus/String_Quartet_No.14_in_G_major,_K.387_(Op._10,_No._1)	String Quartet No.14 in G major, K.387 (Op. 10, No. 1)	https://musescore.com/openscore-string-quartets/scores/7103818	#64136	5108511
7294793	Mozart,_Wolfgang_Amadeus/String_Quartet_No.15_in_D_minor,_K.421417b_(Op._10,_No._2)	String Quartet No.15 in D minor, K.421/417b (Op. 10, No. 2)	https://musescore.com/openscore-string-quartets/scores/7294793	#64137	5108512
7302710	Mozart,_Wolfgang_Amadeus/String_Quartet_No.16_in_E-flat_major,_K.428421b_(Op._10,_No._4)	String Quartet No.16 in E-flat major, K.428/421b (Op. 10, No. 4)	https://musescore.com/openscore-string-quartets/scores/7302710	#64138	5108513
7353137	Mozart,_Wolfgang_Amadeus/String_Quartet_No.17_in_B-flat_major,_K.458_(Op._10,_No._3)	String Quartet No.17 in B-flat major, K.458 (Op. 10, No. 3)	https://musescore.com/openscore-string-quartets/scores/7353137	#64140	5108514
7093885	Mozart,_Wolfgang_Amadeus/String_Quartet_No.18_in_A_major,_K.464_(Op._10,_No._5)	String Quartet No.18 in A major, K.464 (Op. 10, No. 5)	https://musescore.com/openscore-string-quartets/scores/7093885	#64141	5108515
7070781	Mozart,_Wolfgang_Amadeus/String_Quartet_No.18_in_A_major,_K.464_(Op._10,_No._5)	String Quartet No.18 in A major, K.464 (Op. 10, No. 5)	https://musescore.com/openscore-string-quartets/scores/7070781	#64141	5108515
7078259	Mozart,_Wolfgang_Amadeus/String_Quartet_No.18_in_A_major,_K.464_(Op._10,_No._5)	String Quartet No.18 in A major, K.464 (Op. 10, No. 5)	https://musescore.com/openscore-string-quartets/scores/7078259	#64141	5108515
7075297	Mozart,_Wolfgang_Amadeus/String_Quartet_No.18_in_A_major,_K.464_(Op._10,_No._5)	String Quartet No.18 in A major, K.464 (Op. 10, No. 5)	https://musescore.com/openscore-string-quartets/scores/7075297	#64141	5108515
7471661	Mozart,_Wolfgang_Amadeus/String_Quartet_No.19_in_C_major,_K.465_(Op._10,_No._6)	String Quartet No.19 in C major, K.465 (Op. 10, No. 6)	https://musescore.com/openscore-string-quartets/scores/7471661	#64142	5108516
12113164	Mozart,_Wolfgang_Amadeus/String_Quartet_No.2_in_D_major,_K.155134a	String Quartet No.2 in D major, K.155/134a	https://musescore.com/openscore-string-quartets/scores/12113164	#64042	6406690
16138966	Mozart,_Wolfgang_Amadeus/String_Quartet_No.21_in_D_major,_K.575	String Quartet No.21 in D major, K.575	https://musescore.com/openscore-string-quartets/scores/16138966	#64145	6406813
15730717	Mozart,_Wolfgang_Amadeus/String_Quartet_No.22_in_B-flat_major,_K.589	String Quartet No.22 in B-flat major, K.589	https://musescore.com/openscore-string-quartets/scores/15730717	#64148	6406831
15624112	Mozart,_Wolfgang_Amadeus/String_Quartet_No.23_in_F_major,_K.590	String Quartet No.23 in F major, K.590	https://musescore.com/openscore-string-quartets/scores/15624112	#64149	6406837
9199617	Mozart,_Wolfgang_Amadeus/String_Quartet_No.4_in_C_major,_K.157	String Quartet No.4 in C major, K.157	https://musescore.com/openscore-string-quartets/scores/9199617	#64122	5790447
7541288	Müller-Hermann,_Johanna/String_Quartet,_Op.6	String Quartet, Op.6	https://musescore.com/openscore-string-quartets/scores/7541288	#557707	5108505
12536479	Nielsen,_Carl/String_Quartet_No.1,_Op.13	String Quartet No.1, Op.13	https://musescore.com/openscore-string-quartets/scores/12536479	#173684	5108849
8482283	Ravel,_Maurice/String_Quartet_in_F_major	String Quartet in F major	https://musescore.com/openscore-string-quartets/scores/8482283	#335585	5108574
8940236	Reger,_Max/String_Quartet_No.1,_Op.54_No.1	String Quartet No.1, Op.54 No.1	https://musescore.com/openscore-string-quartets/scores/8940236	#53714	5108850
8437358	Saint-Georges,_Joseph_Bologne/String_Quartet_in_C_major,_Op.1_No.1	String Quartet in C major, Op.1 No.1	https://musescore.com/openscore-string-quartets/scores/8437358	#80710	5108602
8437280	Saint-Georges,_Joseph_Bologne/String_Quartet_in_C_minor,_Op.1_No.4	String Quartet in C minor, Op.1 No.4	https://musescore.com/openscore-string-quartets/scores/8437280	#80710	5108605
10490761	Saint-Georges,_Joseph_Bologne/String_Quartet_in_D_major,_Op.1_No.6	String Quartet in D major, Op.1 No.6	https://musescore.com/openscore-string-quartets/scores/10490761	#80710	5108607
8438840	Saint-Georges,_Joseph_Bologne/String_Quartet_in_E-flat_major,_Op.1_No.2	String Quartet in E-flat major, Op.1 No.2	https://musescore.com/openscore-string-quartets/scores/8438840	#80710	5108603
8438915	Saint-Georges,_Joseph_Bologne/String_Quartet_in_G_minor,_Op.1_No.3	String Quartet in G minor, Op.1 No.3	https://musescore.com/openscore-string-quartets/scores/8438915	#80710	5108604
8438999	Saint-Georges,_Joseph_Bologne/String_Quartet_in_G_minor,_Op.1_No.5	String Quartet in G minor, Op.1 No.5	https://musescore.com/openscore-string-quartets/scores/8438999	#80710	5108606
7648382	Schubert,_Franz/String_Quartet_in_C_minor,_D.703	String Quartet in C minor, D.703	https://musescore.com/openscore-string-quartets/scores/7648382	#04039	5162489
7397765	Schubert,_Franz/String_Quartet_in_D_minor,_D.810,_Op.14_(“Death_and_the_Maiden”)	String Quartet in D minor, D.810, Op.14 (“Death and the Maiden”)	https://musescore.com/openscore-string-quartets/scores/7397765	#04047	5108909
8630159	Schulhoff,_Erwin/String_Quartet_No.1	String Quartet No.1	https://musescore.com/openscore-string-quartets/scores/8630159	#581718	5108911
9010547	Schumann,_Robert/String_Quartet_No.1,_Op.41_No.1	String Quartet No.1, Op.41 No.1	https://musescore.com/openscore-string-quartets/scores/9010547	#289569	5108569
9529900	Schumann,_Robert/String_Quartet_No.3,_Op.41_No.3	String Quartet No.3, Op.41 No.3	https://musescore.com/openscore-string-quartets/scores/9529900	#289667	5108913
7483523	Smetana,_Bedřich/String_Quartet_No.1	String Quartet No.1	https://musescore.com/openscore-string-quartets/scores/7483523	#362678	5108519
7555331	Smyth,_Ethel/String_Quartet_in_E_minor	String Quartet in E minor	https://musescore.com/openscore-string-quartets/scores/7555331	#346160	5108481
10517302	Stanford,_Charles_Villiers/String_Quartet_No.1,_Op.44	String Quartet No.1, Op.44	https://musescore.com/openscore-string-quartets/scores/10517302	#67817	5108861
9608209	Strauss,_Richard/String_Quartet_in_A_major,_Op.2	String Quartet in A major, Op.2	https://musescore.com/openscore-string-quartets/scores/9608209	#79337	5108858
8812200	Wolf,_Hugo/Italian_Serenade	Italian Serenade	https://musescore.com/openscore-string-quartets/scores/8812200	#40911	5626515
8823783	Wolf,_Hugo/String_Quartet	String Quartet	https://musescore.com/openscore-string-quartets/scores/8823783	#322751	5574612
